text,label
"Get em' while they still work. The only problem is that it's kind of hard to find.I bought this for a friend, and",FALSE
Not what I was hoping for. The movie was just too slow. There were too many scenes. I had to watch it again and again to understand the significance of it all.,FALSE
"<div id=""video-block-RH1CBMM1HMEIO"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/A1o4pS7g6S.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/A1o4pS7g6S.png"" class=""video-slate-img-url"">&nbsp;this is a great product and I am really happy with it.  The price is right and my dog loves it and I like that it is made in the USA.I bought this for my Yorkie and she loves it. It has a good",FALSE
Nice bag. Only complaint is that it doesn't fit in the front pocket for my iPad mini.Great product. Great price.,FALSE
"Lovers of old, black and white. The movie is a good one. If you have been following the story, you know the movie is worth watching. The acting is good, and the movie is a fun one. Highly recommend it.I can't imagine what this movie would have been like if it had been released on DVD. I can't imagine the level of emotion and attention-grabbing violence that could have been put into it. The acting was excellent. I would not have given it five stars if it had been released on DVD. I'm not sure why the producers didn't make it more than five. I have watched it a few times and I'm not sure how they ended up making it three",FALSE
Packaged really well and arrived quickly. The shipping was quick and it was shipped in a timely manner,FALSE
Works great right out of the box and the only thing I didn't like is the screen protector.,FALSE
"This pot is wonderful! So easy to clean and very comfortable.

The only reason I gave",FALSE
One the nest Bosch novels. I love the way he manages to keep us interested in the story.,FALSE
"comfortable and daughter used it for a trip to the beach.

The only reason I gave",FALSE
"ARC provided by the Publisher in exchange for an honest review.

The story follows a couple who find themselves in the middle of a dangerous and dangerous situation. While in a very dangerous situation, they both have issues to work on. The characters are well developed and the storyline is full of action. The author does a great job of bringing the characters together and making the situation interesting.

This book is about two young people who find their way into one another's lives and have to find out what is going on. The story is fast paced and the characters are well developed. There is a lot of action and mystery that is well-developed. There is also a lot of romance and some action. The story is well written and the characters are well developed. I highly recommend it.This is a good story with",FALSE
"Who is John Galt?  Is he the only one?  Is he the only one?  Can anyone really tell the answer to that question?  The answer to this question is ""Yes. ""

The movie takes place in a fictionalized version of New York City. The residents of New York City have a similar history, but the characters and the plots are so different from the real world that there is no continuity.",FALSE
The drone works great. The wheels spin and the drone stays on its own for a while. The drone is so small that it's not worth the extra money,FALSE
Default voice is not that clear. The only way you can hear it is if the person you are talking to is the,FALSE
"I was looking forward to this movie and thought it would be a nice addition to my collection. I had not seen it yet, but I am sure I will. I enjoyed it. I had no idea that this film would be so well written and acted. The acting was great. I liked the acting and the movie had a lot of action. I also liked the ending. I felt like I was watching something very real and a good ending. I was very happy with the ending. I would highly recommend this movie to anyone who is looking for a great movie and a good story. It is not for everyone. It is for everyone.",FALSE
"Great book that can really help me understand the relationship between two women.  I would recommend it.I read this book in the middle of the night, and it was great.  The story was well told and the characters were strong.  I would recommend this book.Great book.  I found it very interesting and I will reread it again.  I've already reread it again.  I'm enjoying the book",FALSE
"I have a cranky old dog and I thought it would be a nice addition to the house. It's not. I am not going to waste any money on a 4 inch piece of metal. It will be a perfect addition to my dogs house. If you have a large dog, it's a great addition to your home. If you have a small dog, it will be a perfect addition to your house. It's easy to clean and easy to put on. My dog loves the little plastic ball inside, which he uses to put treats in the refrigerator. I put it in his bathtub, and he loves it. I am very pleased with this purchase and will purchase again. I bought this for my Yorkie and it works perfectly. It has a good amount of room for him to stretch out and play. It's small enough to fit him well enough that he doesn't get too far out. My cats love this food. My dog is about 20 lbs. and he was very picky about his food so I would give this a 5 star rating. However, he was not crazy about this food either. He liked it because it was dry and was easy to digest. However, he did not like the taste. He is a picky eater so I gave him a free bag of this food. He didn't like it because it was too dry. However, he will eat it if he gets a little bit of it. I will definitely buy this food again.",FALSE
"These pants are comfortable, they are stretchy and very comfortable.  I also like the fact that they do not have the",FALSE
"This is the old style, anodized aluminum. I will not make a new one. Great product. Great price. I am a 32 year old man, so it is not that big of a deal. Just a little thin on the bottom.",FALSE
"Written in the 'good-grammar-good-sense' style, it's an interesting and intriguing read.",FALSE
"This book has a lot of action and suspense, which I really enjoyed. The characters are well developed and well developed. The story is well told and the flow of the story is well developed. The author does a great job of making the characters believable. This is a great series for young readers.I loved this book!  I can't wait to read the next one!I received a free copy of this book from the author for my honest review.

This book was very interesting to me. It is the first book I've read by this author, and I was very interested in it. It is definitely a different take on the characters of",FALSE
"As someone who works in the military, I know that I need to make a difference in my military life. I had a friend who was a Marine, and he had a rifle and he had a gun and he had a rifle and he had a gun and he had a gun and he had a gun and he had a gun and he had a gun and he had a gun and he had a gun and he had a gun and he had a gun and",FALSE
great light dispersion. Illuminates enough area to be useful as a flashlight.  I have a large collection of other tools and,FALSE
Very fun card game. Gather some friends and play it. I will keep my cards in the cup,FALSE
This item was a gift--hence the name--to my son for Christmas.,FALSE
"Disclosure:  I'm a John Waters fan and the movie is a great deal for him.  If you like John Waters, you will like this",FALSE
"solid, it supports a chair, an armrest, and a footpad.",FALSE
"Not only does this ottoman look nice, it's comfortable and looks nice on my countertop",FALSE
"I had a ho-hum stainless steel set and thought it would be a nice addition to the kitchen. It's not. I am a firm believer that if you don't have a metal pot, it's going to be a pain to clean. This set is far superior. I have used it with a pot of orange juice and it's been great. I also use it with a glass of wine and it's not hard to clean. I would recommend this set for any kitchen or dining room.",FALSE
"I came across this kit and it was an instant hit.  I had a small piece of wood (about 8"") and I needed a small bit of plastic to cover it up.  I used a little bit of paint on it and it was as smooth as it could get.  I was able to get it to fit in the wall.  It is a little heavier than I expected but it does hold up well.  The only negative I have is that I had to cut it to fit into the wall, so I would have to get another piece of plastic to cover it up.  I am happy with it so far.I've used this one to get around a ceiling fan on my garage. I don't know if it's the best or not, but it's a great little light. It's very bright, so I haven't had any issues with it. I'm not a big fan of the motion sensor. I like the motion sensor, but not the light switch. I like the remote. But it's not very bright, so I would not recommend it to anyone. It's not bright, but the motion sensor is not very bright either. It's not very bright either, but it is nice to have. I would not recommend it to anyone. It's not very bright either, but it is nice to",FALSE
I loved this whole series.....I loved it and the characters. I will definitely be reading the next one.I read this book in the last few days and have enjoyed it. The characters are well written,FALSE
"Great! my son loves it, and has kept it on his shelf all night!This is a great Lego set",FALSE
I love this popcorn machine!  I love the popcorn and I will keep my popcorn in this one,FALSE
LOV E THE BOOK COULDN'T READ FOR LITTLE GIRLS AND NO one,FALSE
"Always has funny parts for a laugh, and the ending is a nice twist on the whole. Great story.",FALSE
A cute book with wonderful characters. The story is very good and I enjoyed it very much.Great story. Great story. I liked it. The characters were great. The plot was interesting. The characters were great. The plot was interesting. The plot was interesting. The plot was interesting,FALSE
My second pair and I love them!  Great quality for the price!  I have one pair in two different colors and I,FALSE
"A.good read about the relationship between an island and the people of its namesake, a small island",FALSE
My dog didn't like it.  She kept pulling on it.  She pulled on the buckle,FALSE
"These are Arctic dried catfish, and the quality is good.

The only reason I'm giving them 5 stars is because I don't want to waste my money on a cheap, crappy product.

Update:

I was skeptical about the quality of the product, but the product was delivered as promised. I did not want to waste my money on a product that was made by a company that has not done a good job on customer service.

I am very pleased with this product, and I am so glad I purchased it.My cats love these!  They are super soft and my cats like them too!  I have not found one that is not",FALSE
This one just keeps on pulling you in and has you wondering what now.  Employing a better proofreader would improve Ms. Edward's results.,TRUE
"Poorly made, failed first time I used it.
Can not handle any torque at all without inside cable spinning in crimp connector.",TRUE
"I love that radio. It is a good brand too.

But it has some issues.

First it seemed to use a lot of juice. I seemed to be putting batteries in it every so often. That was not that much of a pain.

But I discovered that once a station was program into the radio there was no way to blank it out. All you can do is program another station in that pre-set. In other words there was no way to clear all or any of the pre-sets. I tried and tried all to no avail.

I am just not that thrilled with radio. I have seen gone back to the simply little Sony radio that costs about $30 or so. That bad boy is rugged, easy to use and lasts forever on one battery. The Sangean takes two.",TRUE
"The Double Feature DVD pack with House | House II shows as being full-screen on the website and on the product packaging but the videos are actually widescreen for both, AC-3/2.0, No Subtitles&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/House-Double-Feature-House-House-II-The-Second-Story/dp/B00KTFJ76O/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">House Double Feature (House, House II: The Second Story)</a>",TRUE
"I love this movie so much it hurts. Full disclosure, you have to love the type of comedy like Black Dynamite or Tim and Eric or it won't be for you. Half the people will love this film, half will hate it.",TRUE
"My title really says it all. This edition was assigned because it was the around which the template for my course was written, and my school didn't care to rewrite the template based on the newer, more relevant edition. This was pure laziness on their part.

This edition mentions nothing newer than 2009, which, in the world advertising, is definitely ancient history. However, it's most unbearable trait was that it is wordy; the text could be cut by two thirds and not lose any valuable content. It spends a lot of time going over the same topics that it did in previous chapters. For a marketing text, you'd think the authors and publishers would have done a better job of taking their own skills to task and put forth a book that is more credible, engaging, and likable. It was all I could do just to keep my eyes open while reading it.

Tip to those reading it now: you only need to read the first one to two sentences of each paragraph to get the pertinent information. The rest of it is just filler.",TRUE
"These function well however they aren't ideal for fixtures where the bulb is visible. The light from these bulbs is concentrated from a small spot in the bulb and as such has an intense, bright light if it isn't covered with a shade or diffuser. Also, the bottom half of the bulb is white plastic. If it's something that bothers you, they don't look great when the bulbs aren't actually on.",TRUE
My son loves these; they are super cute and do lots of neat little things when you push them.,TRUE
"Thicker Than Water ~  Wow!  Not just a saying but life experience and TRUTH!  I always wondered about the 'why' of two people raised in the same family, and yet turning out very differently and I am intrigued by the experiences people have and how they perceive them.  How far would you go for a loved one when that person is in unbearable pain? Is letting go of them considered mercy, or indifference?
Great questions indeed!  This book takes a look into what drives us as human beings and why we do the things we do.  Terrific, meaningful, quick read!",TRUE
"Pretty creepy movie, but good. I had never heard of it but my ex-husband insisted we watch it. I'm glad we did it was good.",TRUE
"The Ontario Gen II SP-50 is a splendid knife with a blade of 5160 carbon steel. It cuts, slashes, dices and slices, all with astounding results, but like most blades in its class, it's heavy. And it's not stainless steel, meaning it will rust. Is it worth the money? Easily, and then some. Is it better than the RTAK II? Well, maybe. I haven't been able to decide. The SP-50 has better blade steel (the RTAK II having 1095 carbon), but the RTAK II has better grips and a way better sheath. And, to me, performance is about the same. The blade finish is better with the SP-50.

I'd go with the RTAK II all things considered.",TRUE
Very good action movie they thought they could invade the USA they were wrong chuck Norris kicks but lots of over the top action you gotta love the final showdown,TRUE
Love this movie never gets old and I'm 28. But I always rent it for my 2 year old she loves it.,TRUE
"This does work with the tablet, though you must connect it as a bluetooth device. Put it into search mode by holding both the triangle and circle buttons until the mic button flashes (may need to be charged first). You do lose some functions with it this way, but the voice search and other buttons work as intended. I had to search a lot to find that info, so hopefully it helps someone else out.
Bigger than I thought, about twice the size of the aluminum Apple TV remotes, but it is so much more comfortable to use as well. Great overall construction even if a little bit on the pricey side.",TRUE
eh.  generic.. get what you pay for though.  Why in the he** do they still use flat head screws! ha,TRUE
Great magnetic socket set and really nice to keep them together in the holder. Great product.,TRUE
"Kids love this toy and it spans quite a few ages. It spurs their imagination and creativity to pretend they are in a store. When a couple of kids are together one or two can shop and one can take turns being cashier. They love scanning random things and hearing the voice say a price. They love getting on the microphone saying, ""Clean up in aisle 7"" type stuff. My sister who has oodles of toys for visiting nieces and nephews had this for years and I have watched kid after kid happily using this toy. Hers is still working and it has through rough toddlers and kid tussles etc. I just bought this one from Amazon for my grand-daughter. It looks exactly the same, but I will try and report back if it has any problems or if it seems they have cheapened the design. Several weeks and so far so good.",TRUE
"Works well. I've purchased a number of smaller computer accessories from Mediabridge, and all have worked, and appeared as sturdy and well-make as, say, Belkin. I'm happy to buy their stuff.",TRUE
"My cat loves these catnip flavor, the price was perfect and I was able to get 2 packs at once, great!",TRUE
This was a great story and a fitting end to the Dark Riders. Lilly and Asher are a beautiful couple and they made this story complete. I wish that I could read more about the Dark Riders and Asher and Lilly in future books but it seems that this series has come to an end. Great job Elsa Day on yet another satisfying and gripping tale,TRUE
Just got these today and love them already! Strong and solid with weight and perfect grip! Cheers!!,TRUE
"To my surprise, I've been doing it all wrong!  I'm 47 and I sure could have used this information about 10 years ago!  I've read the entire book. I'm almost through the entire detox. I do feel great. I haven't lost the weight others have, but I have lost some and when you feel great, the other isn't so bad, actually. I'm going to keep on, keeping on so that I can see some more results. I'm excited about that. Thank you for the recipes and thank you for actually EXPLAINING hormones, along with the detox. That was so helpful for me and now I can pass this info along to others too. It's not just another ""diet. ""  Love it!  And, by the way, I'm also surprised at how well your shake tastes. Not bad. Not bad at all.",TRUE
This is a great price for a filter.  It appears to be glass and protects well.  Hasn't scratched so far.  I would recommend it instead of the very high prices some stores charge.,TRUE
"This gate is easy to install and looks good at first, however my very large 70 pound pitbull was able to get through the small pet door and harass my poor cat upstairs this gate ended up not serving its purpose of giving my cat a safe space away from the dog.",TRUE
"Arnold is always fun to watch and while not as outstanding as Terminator 1, it is a satisfying end to the trilogy and makes for a fun afternoon watching all three during a cold winter afternoon with some hot chocolate and a large bowl of popcorn.",TRUE
Very difficult to get playdough out of the cutters even for adult fingers. Not a product my preschooler can play with alone without frustration.,TRUE
"Turns out to be a long yarn and perhaps a bit too fictitious for my tastes, but then when you write a novel you have to have extra ordinary stuff or the plot begins to fade from interest.",TRUE
"Fun twist on what could happen to the Titanic.  While reading this book I've become more interested in the history of the ship.

A fun, light read that you'll get through quickly.",TRUE
"Wow! K Bromberg has done it again! Quin and Hawkes story is fun, deep, and sexy. I found myself thinking about them when I was forced to stop reading. I couldn't wait to get through my work day to read about them at night. Quin is strong and confident but also so intuitive when it comes to knowing what Hawke needs.",TRUE
"Unbelievable! This was such a rare car, and I thought it would be cool. But no, soon after I bought it, the tow cable came off, and the paint on the windshield got scratched off. Not recommending this to anybody!!",TRUE
